msoa_code,msoa_name,local_auth_code,local_auth_name,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,march_deaths,april_deaths,may_deaths,june_deaths,july_deaths,total_population_mid_2018,over_70_prop,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000300,Enfield 024,E09000010,Enfield,8,0.885347498893315,19,2.102700309871625,0,15,3,0,1,9036,0.0725984949092518,0.570307711168321,0.29863920559029,0.0292999877405909,0.0372686036533039,12.0,8.6,6.4,4.05,1.86,6094.0,10130.0,24308.0,976.0,8304.0
E02000301,Enfield 025,E09000010,Enfield,6,0.544168329403228,7,0.6348630509704335,1,6,0,0,0,11026,0.0672954834028659,0.58222442899702,0.327308838133068,0.0273088381330685,0.0235352532274081,11.59,9.52,6.46,4.05,1.73,3284.5,7345.0,18854.0,402.0,10547.5
E02000302,Enfield 026,E09000010,Enfield,3,0.348513011152416,4,0.4646840148698885,0,3,0,1,0,8608,0.106877323420074,0.354311794379053,0.115061253903435,0.0214989190487629,0.0641364400672591,12.47,5.34,5.42,4.25,2.45,13706.0,18354.0,25676.0,4720.0,13649.0
E02000303,Enfield 027,E09000010,Enfield,5,0.546209307406598,7,0.7646930303692375,1,6,0,0,0,9154,0.0703517587939698,0.552681764004767,0.282598331346841,0.0529201430274135,0.0263408820023837,12.32,10.38,6.72,3.97,1.69,2993.0,5875.0,18972.0,1071.0,8185.0
E02000304,Enfield 028,E09000010,Enfield,1,0.121787845573011,17,2.070393374741201,0,9,6,1,1,8211,0.139447083181098,0.263567808134503,0.035974780566201,0.0175547039189022,0.0729385585362838,11.3,4.69,4.89,4.12,2.36,24743.0,31324.0,30897.0,6332.0,10977.0
E02000305,Enfield 029,E09000010,Enfield,6,0.670915800067091,11,1.2300123001230012,0,9,1,1,0,8943,0.093480934809348,0.274180470288428,0.0659098806903741,0.0224719101123595,0.0408896096374377,12.05,4.95,4.98,4.54,2.52,13907.0,28167.0,26391.0,7138.0,8344.0
E02000306,Enfield 030,E09000010,Enfield,7,0.76020851433536,10,1.0860121633362294,0,10,0,0,0,9208,0.0696133796698523,0.62159798885124,0.380260137719969,0.0404415783145699,0.023062629795606,11.05,10.69,6.3,3.83,1.61,2292.0,5947.0,12726.0,637.0,10102.0
E02000307,Enfield 031,E09000010,Enfield,8,0.78794444991628,9,0.8864375061558161,1,8,0,0,0,10153,0.0849010144784792,0.483743542996049,0.198622505823964,0.0296768965866504,0.0698875721665147,11.55,7.17,6.32,3.45,1.96,8304.5,12516.5,25122.0,2023.5,9238.0
E02000308,Enfield 032,E09000010,Enfield,2,0.238180302488984,6,0.7145409074669525,0,6,0,0,0,8397,0.0915803263070144,0.405894519131334,0.103671147880041,0.0297311271975181,0.0972078593588417,9.06,5.35,4.4,3.84,1.78,12747.0,25886.0,27327.0,2920.0,7907.0
E02000309,Enfield 033,E09000010,Enfield,11,0.890399870487291,17,1.3760725271167233,1,14,1,0,1,12354,0.051805083373806,0.613404519019925,0.343979406997807,0.0238344932786728,0.0342263323481742,11.26,8.75,6.43,3.43,1.46,4800.5,8842.5,18391.0,942.0,4195.5
