msoa_code,msoa_name,local_auth_code,local_auth_name,total_population_mid_2018,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,total_cases,cases_per_thousand,cx,cy,population_density,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000891,Blackwall & Leamouth,E09000030,Tower Hamlets,19374,3,0.154846701765252,3,0.1548467017652524,47,2.425931660988954,-0.008083383000000001,51.50457720000001,0.32828489562013924,0.0231237741302776,0.173333333333333,0.112108843537415,0.547562707051585,0.08140085186938,0.189935321028553,0.0694115791134248,0.17340067340067344,0.34821428571428564,0.2986725663716814,0.3402777777777777,0.22878228782287824,0.4653951302179091,0.6443578827625434,0.5050034746351634,0.17872377020983832,0.20102333359878954
E02000893,Mudchute,E09000030,Tower Hamlets,8106,6,0.740192450037009,7,0.8635578583765112,12,1.4803849000740192,-0.009191022,51.49132247,0.37453950061399927,0.0518134715025906,0.231441048034935,0.202328966521106,0.424001179419136,0.0527790063393778,0.179566563467492,0.0461447736989532,0.18855218855218858,0.33482142857142866,0.2201327433628318,0.3680555555555556,0.20295202952029517,0.346000735423428,0.6529585135903756,0.2698575399583044,0.3264361885104919,0.7062594568766425
E02000894,Millwall South,E09000030,Tower Hamlets,11777,5,0.424556338626135,8,0.6792901418018171,19,1.6133140867793156,-0.019361684,51.49018491,0.7453950061399919,0.0338795958223656,0.169931517757605,0.110049370918936,0.426556180329486,0.0438985893262306,0.134359277892867,0.0724080102594456,0.15656565656565657,0.33370535714285715,0.18584070796460175,0.3564814814814814,0.17712177121771222,0.5919838846344465,0.6019579792826488,0.5476372480889506,0.38243894048847604,0.47437684160229354
E02000895,Chingford Green West,E09000031,Waltham Forest,8207,10,1.21847203606677,16,1.9495552577068356,29,3.5335689045936394,-0.009510662,51.63494532,0.1371264838313549,0.175947362008041,0.293564501910079,0.240669997061416,0.218573756109788,0.0888582529138989,0.0327108660233111,0.00877302920165434,0.8989898989898989,0.45424107142857145,0.3584070796460177,0.8472222222222222,0.7527675276752768,0.2280771874850117,0.43949395887554077,0.63273106323836,0.08452012383900928,0.43274667516126464
E02000896,Chingford Green East,E09000031,Waltham Forest,9091,17,1.86998130018699,26,2.859971400285997,41,4.509954900450995,0.010023868,51.63317017,0.11625051166598446,0.150588494115058,0.238291066940827,0.169979437971213,0.138983435443612,0.0429997730882686,0.01690492398457,0.0080553664624461,0.744107744107744,0.45312500000000006,0.3329646017699115,0.7291666666666666,0.6715867158671587,0.5327663112120098,0.5763112083972493,0.7094162612925643,0.3939800481596147,0.4915584932706857
E02000897,Friday Hill,E09000031,Waltham Forest,8570,5,0.58343057176196,11,1.2835472578763127,35,4.084014002333722,0.010906157,51.61931724,0.1637331150225133,0.134072345390898,0.293490460157127,0.250561167227834,0.238950105237092,0.0971895505757088,0.0333044447195741,0.0142379596384796,0.6338383838383839,0.41629464285714285,0.29535398230088494,0.673611111111111,0.6236162361623616,0.15552606756303058,0.2132921973836157,0.36872828353022935,0.12765737874097008,0.47985187544795727
E02000898,Larkswood,E09000031,Waltham Forest,7991,12,1.50168940057564,16,2.0022525341008635,33,4.129645851583031,-0.005486103000000001,51.6188268,0.19525173966434714,0.131397822550369,0.301849775784753,0.239630044843049,0.257419354838709,0.0967741935483871,0.0430967741935483,0.0183225806451612,0.6784511784511785,0.46763392857142855,0.3230088495575222,0.7013888888888887,0.6309963099630996,0.2572063502214264,0.3790310070838864,0.4334259902710216,0.15049879600963192,0.5144540893525523
E02000899,Chingford Mount,E09000031,Waltham Forest,8692,3,0.345144960883571,6,0.6902899217671422,22,2.531063046479521,-0.017683307,51.61839625,0.2574703233729022,0.127013345605154,0.30638852672751,0.258930899608866,0.278030303030303,0.111616161616161,0.0316919191919191,0.0196969696969696,0.6843434343434344,0.5122767857142858,0.36172566371681414,0.7060185185185183,0.6568265682656826,0.3546339669698956,0.39826608524793605,0.5456219596942321,0.26649466804265565,0.29740383849645613
E02000900,South Chingford,E09000031,Waltham Forest,8808,6,0.681198910081743,8,0.9082652134423251,27,3.0653950953678475,-0.025455686,51.61143702,0.20139173147769138,0.0984332425068119,0.308631695809048,0.255620316402997,0.419386745796241,0.194238377843719,0.0710929772502472,0.0232443125618199,0.6936026936026937,0.5033482142857144,0.3982300884955752,0.7245370370370369,0.6789667896678967,0.2879662344721738,0.35503886657818995,0.49788047255038226,0.09074647402820778,0.33041331528231266
E02000901,Highams Park East,E09000031,Waltham Forest,10248,4,0.39032006245121,6,0.585480093676815,12,1.17096018735363,0.005361026,51.60739648,0.21121571837904218,0.0966042154566744,0.284407484407484,0.203950103950104,0.228897663002881,0.0707501867463451,0.0343613274997332,0.0247572297513605,0.5707070707070707,0.2555803571428571,0.19690265486725664,0.6041666666666666,0.4907749077490775,0.4645957569265695,0.6449438976886882,0.7011292564280751,0.4333505331957344,0.35376682328581666
E02000902,Highams Park West,E09000031,Waltham Forest,9725,4,0.411311053984575,5,0.5141388174807198,33,3.3933161953727504,-0.010544355,51.60395541,0.26524764633647163,0.0773264781491002,0.324947033898305,0.266949152542373,0.446604300813995,0.190620823715222,0.0813995869274693,0.0256347952861134,0.5909090909090908,0.34709821428571425,0.3185840707964601,0.6458333333333331,0.5276752767527675,0.3767286447425218,0.4503869422085869,0.6489923558026407,0.09167526659786722,0.2236999283268297
E02000903,Higham Hill,E09000031,Waltham Forest,9769,3,0.307093868359095,3,0.3070938683590951,16,1.6378339645818405,-0.032867692999999996,51.60087004,0.1764224314367581,0.060292762821169,0.305895439377086,0.311735261401557,0.526263408161008,0.22735817759593,0.118544730730952,0.0230012164104832,0.4082491582491582,0.44977678571428575,0.3108407079646017,0.6435185185185185,0.25830258302583026,0.11315928312203233,0.20112376979954844,0.386726893676164,0.1173374613003096,0.16464919964959784
E02000904,Fulbourne Road & Walthamstow Forest,E09000031,Waltham Forest,8931,3,0.335908632851864,6,0.6718172657037286,28,3.1351472399507334,0.0022873670000000002,51.59707845,0.21899304134261155,0.0619191579890269,0.277650648360031,0.260869565217391,0.476178901312591,0.1934856587263,0.109504132231404,0.022362664073894,0.3787878787878788,0.2466517857142857,0.2986725663716814,0.6041666666666666,0.36900369003690037,0.39033397816112164,0.4690360054464917,0.6554030576789437,0.15978672170622635,0.2127299514215179
E02000905,Lloyd Park,E09000031,Waltham Forest,10284,7,0.680669000388953,13,1.264099572150914,35,3.4033450019447686,-0.01788593,51.59430835,0.3622595169873108,0.0518280824581874,0.262971175166297,0.250554323725055,0.499322139952028,0.166336427156116,0.133486286369798,0.0236729585983939,0.39814814814814814,0.38281250000000006,0.2732300884955752,0.548611111111111,0.2878228782287823,0.3666245663399894,0.4819628052879229,0.5223419041000695,0.1281733746130031,0.2533248387353667
E02000906,William Morris,E09000031,Waltham Forest,9551,2,0.209402156842215,6,0.6282064705266465,20,2.094021568422155,-0.028103855,51.59064532,0.6004911993450676,0.0568526855826615,0.262952773956901,0.254470426409904,0.49102508650519,0.155168685121107,0.13094723183391,0.0204368512110726,0.41582491582491576,0.41294642857142855,0.2986725663716814,0.5625,0.2878228782287823,0.31648787350717034,0.5147451696857926,0.5587908269631688,0.18568971448228414,0.26662419367683365
E02000907,Wood Street,E09000031,Waltham Forest,11174,4,0.357973867907642,7,0.6264542688383749,42,3.758725613030249,-0.004882755999999999,51.58843337,0.44617273843634886,0.0627349203508143,0.291282051282051,0.286153846153846,0.551510302060412,0.244948989797959,0.105221044208841,0.02250450090018,0.2887205387205387,0.34374999999999994,0.24004424778761055,0.46759259259259245,0.25830258302583026,0.09322291323602294,0.250659266791913,0.3364141765114663,0.07512899896800826,0.3271681134028828
E02000908,Blackhorse Road,E09000031,Waltham Forest,12541,5,0.398692289291125,6,0.47843074714935013,40,3.189538314329001,-0.044454642,51.58899367,0.17069177241097014,0.0459293517263376,0.270393299344501,0.264748725418791,0.495435526816279,0.184100418410041,0.0837771015595283,0.0221567135793077,0.38636363636363635,0.44419642857142855,0.3108407079646017,0.5810185185185184,0.25830258302583026,0.32099633887032564,0.5746221065513022,0.4305072967338429,0.1395252837977296,0.3083140877598152
E02000909,Upper Walthamstow,E09000031,Waltham Forest,9014,3,0.332815620146438,6,0.6656312402928778,25,2.773463501220324,0.000975136,51.58511078,0.24232501023331973,0.0692256489904592,0.270612152699345,0.239891574429636,0.441666666666666,0.158912037037037,0.116898148148148,0.0305555555555555,0.35185185185185175,0.39062500000000006,0.2831858407079646,0.537037037037037,0.3025830258302583,0.415418312043358,0.7050276633516607,0.5658443363446838,0.15091159270725835,0.20602054630883174
